compound,actual,prediction,pred errs
2-Propen-1-ol,,239.19,17.85
2-Propen-1-ol,,239.19,17.85
2-Propen-1-ol,,239.19,17.85
2-Propen-1-ol,,239.19,17.85
4-Penten-1-ol,,366.28,17.96
Cyclopentanol,,304.27,12.64
Cyclopentanol,,304.27,12.64
Cyclopentanol,,304.27,12.64
Cyclopentanol,,304.27,12.64
Cyclohexanol,,372.41,12.74
Cyclohexanol,,372.41,12.74
Cyclohexanol,,372.41,12.74
Cyclohexanol,,372.41,12.74
Cyclohexanol,,372.41,12.74
Cyclohexanol,,372.41,12.74
Cyclohexanol,,372.41,12.74
Cyclohexanol,,372.41,12.74
Cyclohexanol,,372.41,12.74
Cyclohexanol,,372.41,12.74
Cycloheptanol,,440.56,12.85
Cycloheptanol,,440.56,12.85
Cycloheptanol,,440.56,12.85
Cyclohexanemethanol,,454.0,23.52
Cyclooctanol,,508.7,12.95
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
Acetone,,168.19,9.26
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Butanone,,228.41,11.99
2-Pentanone,,291.95,12.07
2-Pentanone,,291.95,12.07
2-Pentanone,,291.95,12.07
2-Pentanone,,291.95,12.07
2-Pentanone,,291.95,12.07
2-Pentanone,,291.95,12.07
2-Pentanone,,291.95,12.07
2-Pentanone,,291.95,12.07
2-Pentanone,,291.95,12.07
2-Pentanone,,291.95,12.07
2-Pentanone,,291.95,12.07
2-Pentanone,,291.95,12.07
2-Pentanone,,291.95,12.07
2-Pentanone,,291.95,12.07
2-Pentanone,,291.95,12.07
2-Pentanone,,291.95,12.07
2-Pentanone,,291.95,12.07
3-Methyl-2-butanone,,290.9,14.27
3-Methyl-2-butanone,,290.9,14.27
3-Methyl-2-butanone,,290.9,14.27
3-Methyl-2-butanone,,290.9,14.27
3-Methyl-2-butanone,,290.9,14.27
3-Pentanone,,288.63,14.21
3-Pentanone,,288.63,14.21
3-Pentanone,,288.63,14.21
3-Pentanone,,288.63,14.21
3-Pentanone,,288.63,14.21
3-Pentanone,,288.63,14.21
3-Pentanone,,288.63,14.21
3-Pentanone,,288.63,14.21
3-Pentanone,,288.63,14.21
3-Pentanone,,288.63,14.21
3-Pentanone,,288.63,14.21
2-Hexanone,,355.5,12.15
2-Hexanone,,355.5,12.15
2-Hexanone,,355.5,12.15
2-Hexanone,,355.5,12.15
2-Hexanone,,355.5,12.15
2-Hexanone,,355.5,12.15
2-Hexanone,,355.5,12.15
2-Hexanone,,355.5,12.15
2-Hexanone,,355.5,12.15
2-Hexanone,,355.5,12.15
2-Methyl-3-pentanone,,351.12,16.18
"3,3-Dimethyl-2-butanone",,326.36,28.23
"3,3-Dimethyl-2-butanone",,326.36,28.23
"3,3-Dimethyl-2-butanone",,326.36,28.23
3-Hexanone,,352.18,14.27
3-Hexanone,,352.18,14.27
3-Hexanone,,352.18,14.27
3-Hexanone,,352.18,14.27
3-Methyl-2-pentanone,,354.45,14.33
4-Methyl-2-pentanone,,351.12,16.18
4-Methyl-2-pentanone,,351.12,16.18
4-Methyl-2-pentanone,,351.12,16.18
4-Methyl-2-pentanone,,351.12,16.18
4-Methyl-2-pentanone,,351.12,16.18
4-Methyl-2-pentanone,,351.12,16.18
4-Methyl-2-pentanone,,351.12,16.18
4-Methyl-2-pentanone,,351.12,16.18
4-Methyl-2-pentanone,,351.12,16.18
4-Methyl-2-pentanone,,351.12,16.18
4-Methyl-2-pentanone,,351.12,16.18
4-Methyl-2-pentanone,,351.12,16.18
4-Methyl-2-pentanone,,351.12,16.18
4-Methyl-2-pentanone,,351.12,16.18
4-Methyl-2-pentanone,,351.12,16.18
4-Methyl-2-pentanone,,351.12,16.18
